UID,Rating,Review
1,4, I really dont care for a couple things going on with my longest super dude hero. Spidey I watch on Saturday mornings And Sunday evening both cartoons and live cast on TV shows. I am 62 bu was 13 or so when I started watching spidey and watched on and off right up to The latest Far From Home. A lot ...Full ReviewI really dont care for a couple things going on with my longest super dude hero. Spidey I watch on Saturday mornings And Sunday evening both cartoons and live cast on TV shows. I am 62 bu was 13 or so when I started watching spidey and watched on and off right up to The latest Far From Home. A lot has changed. He is 16 years old come on now. He calls his aunt Mae.by her first name no respect there Peter. gotta say that I am not sure of that 16 years years old. He is fighting old dudes like me
3,2, It starts off really well. Theres humor and banter and interesting characterization. But at some point it degenerates into another video game with explosions and bullets and absolutely no tension whatsoever. It felt like watching a demo reel for some 3D particle software. There are entire sequences...Full ReviewIt starts off really well. Theres humor and banter and interesting characterization. But at some point it degenerates into another video game with explosions and bullets and absolutely no tension whatsoever. It felt like watching a demo reel for some 3D particle software. There are entire sequences that are entirely CGI and purposely look like CGI. so theres no sense of danger. Honestly. weve all seen CGI explosions and CGI car crashes and CGI machine guns... But when explosions dont break glass and cars bounce like rubber balls and bullets hit walls without leaving a mark... well. thats boring. Boring.
5,5, Well. Im not concerned with the idea of Spider-man. you know. the comic book superhero & 16 year old kid. in what some more critical reviewers might feel is thier only angle of complaint. is in danger! Is there no significant Danger involved. with Mysterio and his illusion tech? Comprised of leth...Full ReviewWell. Im not concerned with the idea of Spider-man. you know. the comic book superhero & 16 year old kid. in what some more critical reviewers might feel is thier only angle of complaint. is in danger! Is there no significant Danger involved. with Mysterio and his illusion tech? Comprised of lethal drones firing concentrated projectile rounds. Wait a minute here. concentrated projectiles. not dangerous? What is this guy talking about. Who knows! I give it 55 stars for great storytelling.
7,3, As one of the few remaining people on the planet to finally see this movie for the first time; my impression is simple. OK movie. Marvel Studios sunk $160 million into a 129 minute version of The Breakfast Club; Revenge of The Nerds and High School Musical all wrapped up into one. With a little bit ...Full ReviewAs one of the few remaining people on the planet to finally see this movie for the first time; my impression is simple. OK movie. Marvel Studios sunk $160 million into a 129 minute version of The Breakfast Club; Revenge of The Nerds and High School Musical all wrapped up into one. With a little bit of web slinging and Stark aircraft roaming the tulip fields around Netherlands. Watching Avengers movies you see the bigger intergalactic narrative from Thanos to the Kree to Nick Fury and his network of spies and enforcers. This movie is basically one comedy routine; one one-liner; one near miss to the next. Nothing spectacular besides visual effects and BeckMysterios illusions.
9,1, Given the amount of tough villains spider man fought previously this movie is terrible A guy who master of special effects and illusion thru machines fighting an avenger like spider man very lame! This movie is feeding off the success of endgame. Tobey maguires villains were excellent and good story...Full ReviewGiven the amount of tough villains spider man fought previously this movie is terrible A guy who master of special effects and illusion thru machines fighting an avenger like spider man very lame! This movie is feeding off the success of endgame. Tobey maguires villains were excellent and good story. Terrible disappointment to say the least
11,5, All I have to say about some of these reviews is if you dont want to watch CGI stop watching The MCU because were living in 2019 not the 1990s. I digress this movie was amazing and not just entertainment but a real glimpse at a real tech known as AR or Augmented Reality. If you think Spiderman wasnt...Full ReviewAll I have to say about some of these reviews is if you dont want to watch CGI stop watching The MCU because were living in 2019 not the 1990s. I digress this movie was amazing and not just entertainment but a real glimpse at a real tech known as AR or Augmented Reality. If you think Spiderman wasnt a warning youre crazy. Were in a generation where people will believe ANYTHING they see. Remember believe half of what you see and none of what you hear!
13,3, So they made a completely forgettable SpiderMan film. Homecoming was a great reboot but Far From Home relies almost solely on comedy that works half the time. The action is serviceable but not unique or new. The characters are starting to get annoying. Peter Parker has had multiple films to grow a s...Full ReviewSo they made a completely forgettable SpiderMan film. Homecoming was a great reboot but Far From Home relies almost solely on comedy that works half the time. The action is serviceable but not unique or new. The characters are starting to get annoying. Peter Parker has had multiple films to grow a spine and believe in himself yet his character hasnt matured and is written to entertain teenagers. Sony is better off without the Marvel universe. the animated SpiderMan movie was much better.
15,3, Vanilla. but vanilla is the most popular ice cream. the usual MCU. On the plus side. not twilight wolf level CGI on steroids like most of the MCU movies. when did SFX looking super fake become acceptable? Disappointed I bought this. Its a bit cheesy. a bit immature. and as family friendly as you c...Full ReviewVanilla. but vanilla is the most popular ice cream. the usual MCU. On the plus side. not twilight wolf level CGI on steroids like most of the MCU movies. when did SFX looking super fake become acceptable? Disappointed I bought this. Its a bit cheesy. a bit immature. and as family friendly as you can get while destroying cities. All for Sony continuing to break new ground with the Spider-Verse franchise which still takes the youth perspective but does something incredibly creative.
17,2, Meh.... Predictable. contrived and seemed like a stop gap. The premise was sound. but geez... I wanted to slap Peter so many times! There was way too much duh going on....if this was supposed to be a transomational moment for P. P.. I hope that hes not so dumb moving forward.
19,5, The story is a bit slow at first yes but the rest of the movie totally makes up for it. The struggle Peter has on wanting to be a kid and enjoy his vacation but being pressured into being spiderman is greatly written and mysterios goals arent relatable but very much understandable as a manipulation...Full ReviewThe story is a bit slow at first yes but the rest of the movie totally makes up for it. The struggle Peter has on wanting to be a kid and enjoy his vacation but being pressured into being spiderman is greatly written and mysterios goals arent relatable but very much understandable as a manipulation of belief and him tackling Peters insecurities and fears play him out to be a very well done villain with a great preformance from Jake Gyllenhaal. 5 stars for me.
21,5, Plenty of great things in this film. Firstly. great casting. Also. were finally able to step away from the origin story loops of the Spidey flicks of the past. There are plenty of mind-bending visual effects which help add weight to Mysterios incredible illusions. Not sure how the next installment...Full ReviewPlenty of great things in this film. Firstly. great casting. Also. were finally able to step away from the origin story loops of the Spidey flicks of the past. There are plenty of mind-bending visual effects which help add weight to Mysterios incredible illusions. Not sure how the next installment will develop Peter Parkers story. but this film definitely wasnt the forgettable mess that many sequels end up being.
23,5, this movie exceeded my expectations which were already at a high level. honestly I was surprised that my dad had managed to stay awake due to his late shifts at work but the movie kept him awake which is rare for a marvel movie. the only other one was captain America: civil war!
25,4, Do you notice that the older comments. when the movie first came out. are mostly 5 stars. but as time goes on you see a lot more 1 star reviews! whats that about? Maybe the older posts are from people who went to the theater to watch. and the later ones are people who streamed it. or watched it via ...Full ReviewDo you notice that the older comments. when the movie first came out. are mostly 5 stars. but as time goes on you see a lot more 1 star reviews! whats that about? Maybe the older posts are from people who went to the theater to watch. and the later ones are people who streamed it. or watched it via DVDBlu-ray..... still though. weird. But personally i liked the movie. even though they keep messing with the ethnics of MJ!
27,4, One of the best MCU sequels. The first act is a little slow. but its pretty funny. and picks up when Mysterio shows up. The villain isnt the traditional MCU bad guy. Hes petty and selfish. but hes also fun to watch because of Gyllenhaals performance (spoilers. but who cares). Spiderman was vast...Full ReviewOne of the best MCU sequels. The first act is a little slow. but its pretty funny. and picks up when Mysterio shows up. The villain isnt the traditional MCU bad guy. Hes petty and selfish. but hes also fun to watch because of Gyllenhaals performance (spoilers. but who cares). Spiderman was vastly improved. with more being responsibilities being pressed onto him as he tries to balance his life as Peter Parker with his life as a young superhero. Peter and MJ were adorable. too.
29,4, Guys dont get confused. This is Sony that has a contract with Marvel. thats why the movie is linked with MCU. They have one more movie left with them. then they split unless they renew. The movie was Ok. not excellent. It was funny. It became political in the end. but it is acceptable because they...Full ReviewGuys dont get confused. This is Sony that has a contract with Marvel. thats why the movie is linked with MCU. They have one more movie left with them. then they split unless they renew. The movie was Ok. not excellent. It was funny. It became political in the end. but it is acceptable because they kind of have a point. The Philippino kid was very funny. I dont think Zendaya acts well. very one dimensional. They screwed up in the ending. Really Sony? Do billboardSscreens have audio?
31,1, Worst Marvel movie to date. I have always been a big superhero person and a big movie person and gosh damn this was horrible. There were so many inconsistencies throughout the movie. Make up was bad. There was also a scene that wasnt in sync with the audio. HIGHLY recommend to skip this one.
33,3, Just another stupid Marvel movie complete with a non-believable idiotic story filled with mind numbingly imbecilic dialog. So. two thumbs up if youre a die hard Marvie. Two thumbs WAY down if you have a brain and respect it.
35,3, I enjoyed this movie as i enjoy most marvel flicks. I really liked the story and arc they built for Mysterio as it wasnt your typical villain vs superhero battle. I get annoyed at points by our young hero being so naive but he redeems himself....id give it 3.5 if i could but i stuck with 3.
37,5, This movie absolutely gave me chills and the build up was exactly worth the wait. seeing this movie had the same energy as Homecoming but with deeper messages. If you watch it. characters say things to help others and if you think about it. they are true things in our life. Tom Holland delivered wel...Full ReviewThis movie absolutely gave me chills and the build up was exactly worth the wait. seeing this movie had the same energy as Homecoming but with deeper messages. If you watch it. characters say things to help others and if you think about it. they are true things in our life. Tom Holland delivered well along with Zendaya in this movie! absolute chills! esspecially that one scene with Mysterio 👀
39,4, A fun ride. My wife who rarely ever is up long enough to enjoy action. Stayed up throughout the whole thing. It is funny. light entertainment. It is also a good take on Spiderman. Better in my opinion than Sonys lasts reboot sessions. The Good: Well paced. Funny. Good action and CGI. 🕷️ man is ver...Full ReviewA fun ride. My wife who rarely ever is up long enough to enjoy action. Stayed up throughout the whole thing. It is funny. light entertainment. It is also a good take on Spiderman. Better in my opinion than Sonys lasts reboot sessions. The Good: Well paced. Funny. Good action and CGI. 🕷️ man is very likeable. Villain is very very well acted. The Bad: Villain doesnt have as compelling a reason as in Homecoming. VERDICT: buy a copy.
41,1, This is one of the most stupidest spider-man ever. Peter Parker is known for how smart he is. but how can this idiot just give the most powerful tool in the world to a complete stranger. No spider sense and no brains. Just another bumbling idiot. Talk about no common sense. This spider-man reigns su...Full ReviewThis is one of the most stupidest spider-man ever. Peter Parker is known for how smart he is. but how can this idiot just give the most powerful tool in the world to a complete stranger. No spider sense and no brains. Just another bumbling idiot. Talk about no common sense. This spider-man reigns supreme in no common sense.
43,4, A little slow to start out but it picks up and ultimately the slow start has a great payoff. After the disaster of a movie in the spider verse movie this was a valid redemption. I just dont understand marvel ever allowing that garbage to be made. Dont hold the previous movie against the rest of th...Full ReviewA little slow to start out but it picks up and ultimately the slow start has a great payoff. After the disaster of a movie in the spider verse movie this was a valid redemption. I just dont understand marvel ever allowing that garbage to be made. Dont hold the previous movie against the rest of these spiderman movies and enjoy them.
45,1, This is basically Iron Man Jr. Marvel seems incapable of making a Spiderman movie without Iron Mans story pushing the whole plot. Which by the way. this movie has a tremendously stupid plot. Spiderman is his own character. not Iron Mans sidekick.
47,5, Funny. very well written. Those who see this film as capitalizing off the success of Endgame dont seem to realize that their are well written scenes that deal with loss and grief and multiple. very real emotions. This film addresses the ideas of trust. betrayal. loss. and gossip. There is so much i...Full ReviewFunny. very well written. Those who see this film as capitalizing off the success of Endgame dont seem to realize that their are well written scenes that deal with loss and grief and multiple. very real emotions. This film addresses the ideas of trust. betrayal. loss. and gossip. There is so much in the film that noone talks about but are all integral to the story of spider-man. 5 stars is too little.
49,1, not that its a bad movie or anything but i rented it and started to watch it. but then i had to head to sleep and was working and in school and couldnt finish it. honestly abit peeved that i cant watch it within a 30 day span.... you should be able to watch it until you finish it....
51,1, I want to give this movie 1 and half stars but thats not an option and it doesnt deserve the second star in my opinion. In my opinion heres what good and whats bad with me trying to keep it as spoiler free as possible. the good: Mysterio was Awesome All the scenes worth watching had him in them the ...Full ReviewI want to give this movie 1 and half stars but thats not an option and it doesnt deserve the second star in my opinion. In my opinion heres what good and whats bad with me trying to keep it as spoiler free as possible. the good: Mysterio was Awesome All the scenes worth watching had him in them the action scenes in the second half of the movie were very fun to watch this is the Best version of MJ I have seen in a spiderman thus far Despite what i say below The bad The Character interactions are so forced its almost unwatchable. Feels more like they cobbled together 2 mini-movies of spiderman together just to make mysterios origin story to the point where i would rather it have been a mysterio movie not a spiderman movie. I Hate MJ as a love interest for peter. I like her character and the role she plays in peters life as the voice of reason to balance out peter vs spiderman. but i feel like she could do everything she does better as a friend not a love interest. and this shoves that down your throat. and finally it felt like spiderman was guest starring in this movie where peter parker and mysterio where the main characters. there were only a couple of scenes where i really felt like i was watching spiderman
53,5, ok movie and can use some work. if they hired sam raimi the movie wouldve been so much better. some parts were really cool but most of the movie was just useless information to me and probably the entire theater. Im also disappointed that they didnt include Tobey Maguire. I was told it had Tobey Ma...Full Reviewok movie and can use some work. if they hired sam raimi the movie wouldve been so much better. some parts were really cool but most of the movie was just useless information to me and probably the entire theater. Im also disappointed that they didnt include Tobey Maguire. I was told it had Tobey Maguire. dont watch the movie its a waste of time. I give this movie 0 stars
55,5, Best Spider-Man ever. Even if you dont care about marvels universe or Spider-Man... you can enjoy this movie. Its not the special effects and action that I enjoyed. Its more of the secret message this movie brings which can be applied to our real world. I feel this movie is trying to tell the wor...Full ReviewBest Spider-Man ever. Even if you dont care about marvels universe or Spider-Man... you can enjoy this movie. Its not the special effects and action that I enjoyed. Its more of the secret message this movie brings which can be applied to our real world. I feel this movie is trying to tell the world something. If you want to find out what that message is. Look at the elementals. What could that represent in our real world? Then look at mysterio. Who are they in the real world
57,4, I enjoyed this film more than I anticipated. Mysterio. Jake G.. really made the film great. The best part of the film is when Mysterio really gets to be Mysterio. and by that I mean actually do what he does in the comics. illusions! The rest of the story leading up to the great scenes. and after. ar...Full ReviewI enjoyed this film more than I anticipated. Mysterio. Jake G.. really made the film great. The best part of the film is when Mysterio really gets to be Mysterio. and by that I mean actually do what he does in the comics. illusions! The rest of the story leading up to the great scenes. and after. are entertaining but not great. The elementals definitely feel like a Percy Jackson level of villains. which isnt saying much. But theyre not the point of the story or the main focus. A must see.
59,3, Disappointed with this one. Kind of jumbled and scattershot. Handing the glasses over to Mysterio seemed ridiculous and unbelievable. And the humor wasnt as sharp as the first movie - which was a big part of what made it so great.
61,1, This is the absolute worst thing a person can do to someone. Make there life a game. It destroyed me
63,3, Ugh. I hate the forced diversity in my movies so much. its ruining everything. MJ is no longer a redhead. the class has a muslim. Indian. blah. blah. Im surprised the muslim isnt the villan.
65,5, This movie was terrific it gave me everything I needed even the Peter tingles! Lol of course following and game there were some minor and major plot holes but its a superhero movie this is a universe for time travel as possible and there are superheroes. Cant wait for phase 4!
67,3, This movie was very enjoyable. I was captivated 100% of the time. It was very creative. funny. and family-friendly. It also stayed true to comics as far as the character SpidermanPeter Parker. Although. it was a great movie I felt that it was directed for a less mature audience at times. And it fel...Full ReviewThis movie was very enjoyable. I was captivated 100% of the time. It was very creative. funny. and family-friendly. It also stayed true to comics as far as the character SpidermanPeter Parker. Although. it was a great movie I felt that it was directed for a less mature audience at times. And it felt like I was watching a cheesy teenage. coming-of-age movie instead of a superhero movie. Albeit. that was the point of the movie. its just not what I expected. Overall. fantastic movie!
69,4, Decent movie but it felt a little lacking in depth. I loved the tributesconnections to the repercussions of Endgame. However. for a high school trip. it was completely unrealistic. One of the extra scenes at the end will have major repercussions later. It will be interesting to see what they do.
71,5, Awesome movie. Tom Holland is the best Peter ParkerSpiderman!! Hes the most believable. I didnt think I would like Zendaya as MJ because Im not generally a fan of her but she left me kind of liking her with Peter. Its a funny. emotional. action packed movie that wont leave your disappointed!! ...Full ReviewAwesome movie. Tom Holland is the best Peter ParkerSpiderman!! Hes the most believable. I didnt think I would like Zendaya as MJ because Im not generally a fan of her but she left me kind of liking her with Peter. Its a funny. emotional. action packed movie that wont leave your disappointed!! 🕷️🕸️🦸‍♂️
73,3, It was okay. There are things I genuinely liked about it.  Some of it was better than Homecoming. Some of it was worse.  It suffers from the fact that its following up on Into the Spider-verse. which was the best Spider-man movie ever made.  In the end. I gave it bad marks because the ending (after...Full ReviewIt was okay. There are things I genuinely liked about it.  Some of it was better than Homecoming. Some of it was worse.  It suffers from the fact that its following up on Into the Spider-verse. which was the best Spider-man movie ever made.  In the end. I gave it bad marks because the ending (after credits scene) was horrendous.
75,5, it was marvelous! i loved how it takes place right after endgame and its just a great refresher after the tragic events of endgame. Misterio was amazing and is now my favorite villion because Jake Gyllinhal could not play it better! and i loved how they really foces on Peter trying to adjust to the ...Full Reviewit was marvelous! i loved how it takes place right after endgame and its just a great refresher after the tragic events of endgame. Misterio was amazing and is now my favorite villion because Jake Gyllinhal could not play it better! and i loved how they really foces on Peter trying to adjust to the world with out Tony. they did a great job with that. All in all it was a great movie and i would not change anything about it and in my opinion its a cinamatic masterpiece!
77,5, After watching Captain Marvel and Endgame I was worried that Endgame would be the last good MCU flick. This movie reinstated my trust. Captain Marvel was so awful but Far From Home made up for it. Does a good job of keeping us on the MCU and Holland plays a great Parker. Fury is always a treat too.
79,3, I will premise to state my Spiderman preference is not Tom Holland. However. I was hopeful this movie would show a smarter side of Spiderman character. it did not give this unfortunately. He is still very naive and the ending proved that theory. I hope the next one after this shows some growth in hi...Full ReviewI will premise to state my Spiderman preference is not Tom Holland. However. I was hopeful this movie would show a smarter side of Spiderman character. it did not give this unfortunately. He is still very naive and the ending proved that theory. I hope the next one after this shows some growth in his character.
81,3, I like this spiderman better than Homecoming but what i dont like about this one is too much illusion and the ending is worse than homecoming ending. Also ends exactly how homecoming did WHAT THE FU-! But really if peter wish to reveal himself like Tony i expect to be better... disappointed...
83,5, Such an amazing movie. It made me tear up a bit. laugh a lot. and just happy watching it. I was shocked by the plot twist and surprised when a certain someone was reintroduced to Marvel. especially in the MCU. There was a lot that happened. and I liked how they ended The Infinity Saga. All in all. t...Full ReviewSuch an amazing movie. It made me tear up a bit. laugh a lot. and just happy watching it. I was shocked by the plot twist and surprised when a certain someone was reintroduced to Marvel. especially in the MCU. There was a lot that happened. and I liked how they ended The Infinity Saga. All in all. this is a great film. <3
85,5, For me. its the defining Spider-Man movie. I was raised on Toby Maguire as Spidey. but this movie was such a perfect story. You truly do see Peter grow. yes its more toward the end. but he truly changes a lot in this film. Loved it. Cant wait to watch it all the time now that its on Digital
