UID,Rating,Review
293,5, I saw this movie yesterday and I think the movie was awsome it was so awsome i wanna see it agian when it goes on dvd. Spider Man is my all time favorite superhero. If it goes on Netflix im watching it!
295,4, If you are one to do things like actually pay attention to the storyline while youre watching a movie. its quite good. Mysterio is one of my favorite characters and he is very well represented here. making for a quality superhero tale.
297,5, Yes. this has different flavors and textures then earlier movies. Not necessarily better or worse... Enjoy it. its fun and entertaining...
299,5, my favorite part was when mj found out peter was spider man the movie was awesome
301,5, Better than anticipated. Though i really wish they just drop the Ironman thing.
303,5, This movie was so good if was a competition between the old spider n the amazing spider man movies this one would beat all them
305,5, Is super maverlus. Action triller.how a loser can Save the world
307,5, (SPOILERS) one of the best spider-man movies i ever seen. i still like spider-man 2 more (with tobey maguire) but it was amazing. i loved the twist. it was amazing 1010
309,5, The plot twist after plot twist was blowing me away *spoiler* I cant belive all the illusions its crazy makes my heart race and ofcourse tom holland (best spiderman)
311,5, i havent watched it yet but i bet mysterio is secretly evil
313,1, Why is this listed as a NEW DVD RELEASE when it HAS NOT been released in DVD yet?  How can it be NEW DVD release if its NOT on DVD at all ?
315,5, I just saw the extended cut of this movie and its just amazing Id say probably one of the best Spider-Man ever and Tom Holland is the best Spider-Man
317,5, Es la película que jamás he visto en mi vida pero espero que la pongan en la televisión o la pongan otra vez en el cine
319,5, Tom Holland. Zendaya and the rest of the cast bring a refreshing take on the world of Spider-Man in this modern age. with respect to Stan Lees Marvel Cinematic Universe. This is the ONLY actor for the job now! 1010
321,5, Es emosionante sus efectos especiales muy parecidos a la realidad☺
323,5, i love how in the end it was so cool it was like boom boom boom and then rocks were falling down
325,5, Filme do homem-aranha muito top tem vários Ele conta a história do homem-aranha de vários caras que tem no filme é muito top opção acho que eu gostei mais foi do Mistério do homem-aranha e os elementos tipo a água o fogo esses elementos
327,5, The movie was really good and I enjoyed it very much the fight scenes were great and you definitely shouldnt watch it if you havent see Avengers:Endgame
329,5, E um filme muito bom pra quem gosta de açao de avemtura e um pouco de medo
331,5, I lived for this movie. it was funny. clever and had a good plot. They did it once again. Great movie!
333,5, im a HUGE spider Man fan please make more movies of spiderman
335,4, Better than the first movie for sure. Wont disappoint
337,5, Everything about this was exceptional. The way they did Mysterio fit perfectly. Probably the best Spider-Man movie yet.
339,2, I pre-ordered it and uh. Now its telling my to buy it
341,5, Straight beautiful. amazing lovely counter for what Endgame did to everyone (5 Stars) in my book! :)
343,1, We dont want this kid as spidey. I want legendary Tobey maguire in spider custom again
345,5, What fat rat bastard thought it was a good idea to.....Dang! Now we cant wait for the next movie! Funny. funny. funny stuFF! althroughout the movie. Loved it. Mean it. SEE it.
347,5, A worthy conclusion to the Infinity Saga with a great cast. visuals and story. Seen it on the fourth of July and is a definite watch!
349,5, Best Spider-Man film and MCU to date!
351,5, Amazing movie! Only thing is I guessed who the villan was pretty much right away.
353,1, AGAIN.... Its feels more of a prequel trilogy.
355,5, A light-hearted close to a darker chapter of the MCU. Excellent watch. cannot wait to see it again!
357,1, For one he does not have suit iron man gave him. then u add a super hero no one knows
359,2, Tom is without a doubt the worse spiderman character ever..very disappointed.
361,5, Hes back once more and I dont just mean after coming back from the snap in Infinity War hopefully Sony and Disney can work out this new deal for Peters adventures in this franchise to continue
363,5, This film is a free in( سينمانا).You can watch that
365,1, Can I have this movie can I watch it right now
367,3, Güzel ama 2 puanı süre an kırdım bi ergen ama özel yeteneği sadece kosþüm giyince olu ya ben saçma buldum
369,5, Its very well and entertaining movie i never see i love Marvel history 5 🌟 for this great movie
371,5, The BEST MCUSpider-Man Movie EVER!!!! Tom Holland Is PERFECT As Spider-Man & Jake Gyllenhaal did a FANTASTIC Job as Mysterio!! NO ONE could remake this LEGENDARY MASTERPIECE!!!! 💯💯💯💯
373,5, Best Cinematic Spidey Movie Ever!!! Way better than Homecoming
375,5, I LOVE THIS MOVIE! There were so many good scenes that gave me goosebumps.
377,5, Was a solid build on the first Spiderman and Endgame! Love the expectations and depth on Spiderman! Loved the love intrigue with Peter and MJ! Loved the villain! It was another fresh perspective on the best Superhero around!
379,5, enjoyed this one far better than homecoming ever was
381,5, فیلمی بسیار عالی و جذاب دانلود کنید
383,5, Its only a best movie in the earth . Spider man likes me
385,4, eu nem sei em inglês mais parece que o filme é muito bom. mais eu nem assisti porque eu no sou dos Estados Unidos
387,5, Tom Holland. Zendaya.Jacob Batalon and the rest of the cast 1010 job!!
389,5, This movie is awesome and you NEED to watch it. I think it’s a really good movie but it’s ok if you don’t like it
391,5, Absolutely love this movie. I love Spider-man Ive watched every single Spider-man movie and this one exceeded all my expectations with phenomenal heights. 1010 would watch 100 more times. Thank you.
393,5, Great use of a broad variety of the Web Slingers skills!
395,1, Spider man far from home is rated pg 13
397,5, great movie hated the spoilers for endgame at the start thow
399,4, really good. i love the fact that both marvel spiderman movies end with the line  oh what the fu..... hahahahaha
401,5, Greatest interpretation of Spiderman. Just enough Peter Parker and Spiderman combo and had a good story and a well written script.
403,4, A good continuation of the story. If you liked the first one. you will like this one.
405,5, i thought it was gonna be bad . but turns ITS THE BEST MOVIE EVER
407,5, Some of the best Spidy action sequences ever in a movie. The story could be a bit meh at times but I was hoping to be entertained by my favorite web slinger and I wasnt disappointed.
409,1, this movie came out a month ago
411,5, One of the better Spider man movies that are out. This time line is actually good. Glad they kept it this way. Cant wait to see how Phase 4 of the MCU is going to be after this
413,5, fantastic movie and it exceeded my expectations by a mile. I love everything about this movie and cant wait to watch it over again
415,5, Awesome Spider man move. Loved it! I hope they keep this Peter Parker. Please do Marvel Studios.
417,5, Loved it even though personally I feel that Spiderman story has been played out.
419,5, Great Movie. Great Writing. Sucks that Spidey Isnt part of the MCU anynore
421,2, Giving a two stars because theres no rent option
423,2, Meh. Wasnt worth the purchase. Marvel has kind of lost its charm for me. Its pretty much an interchangeable superhero movie with the same ol same ol. If thats what youre lookig for. great. But not a lot of substance to this one.
425,5, awesome movie definitely watch it twice and epic twist at the end
427,5, its freaking good. Tom Holland is good. Zendaya is good. Sam L Jackson is good. Jake Gylenhaal is good. its just good.
429,5, My new favorite MCU movie.Tom Holland is by far the best spider-man
431,5, This was an awesome and fun movie! p.s. I totally didnt see it coming
433,5, Amazing Movie ever in Spider-Man series
435,5, me and the bois and spiderman radin area 51
437,5, best spider man movie i ever watched
439,5, Thankstoeveryone.Iamnot . but the most important things. The only. The. The only way I could have been a while . I have a look at the moment . The comments for your help . I have a look at the moment .
441,5, It is lierally awesome when you go on google and ask it what is the definition of awesome it will say Spider-Man Far From Home
443,5, Its the story and his connection to the M.C.U Tom Holland rock
445,5, hola hola hola hola Luis Fonsi Sí ma Gracias por la película brother esa película
447,5, Without being biased. This is by far the Best Spider-Man movie to date. Complete capture of the character in todays timeline. 👍👍👍
449,5, I love spider man and Ive wanted to see this for a while so I think spider man far from home is a 5 star movie
451,5, what an amazing experience! it is a truly exiting film. my favorite Spider-man EVER this is better than Spider-man Homecoming
453,5, Самое крутое кино. Я ево люблю смотреть с ПАПОЙ.
455,3, Its ok. definitely not better than the Spider-man Home Coming movie...
457,5, it is asome and i like the part that they do the halagram an the lava manster
459,3, I was good but it was boring at the same time
461,5, Wtqgfqgdkjdhdhdjshshsjgs sjgy you so much for your help and t for you so
463,4, Forgot to rate it. It was good. but I wouldve liked if they spent time in london before they had the final battle.
465,4, miss to iron man 😢 nice move
467,5, For some reason this isnt eligible in the Google Play family library albeit it does show it is. cant even see the movie even though its great!
469,5, best spiderman yet my top 3 movies of the year!!!!
471,4, Was a great movie. but the twist wasnt well played
473,5, İNSTGRAM HESABIMI TAKİP EDİN İNSTGRAM ADIM👉(aliser_zeren)👈
475,5, Endgame and Spider FFH are the best movies ever
477,5, Spidey killz it again! 😲🔫
479,4, Does this version has spideys to-do list scene?
481,2, Muito bom mais seria mais bom ser fosse gratis.
483,5, Not only a great spider man film. but a great peter parker film
485,5, awesome movie. you thought you seen it all
487,5, No Endgame for Spidey. hes flying higher
489,5, Cool movie. I wonder what will happen next. 🤔
491,5, teenporn Tap on a clip to paste it in the text box.
493,5, honestly... this was probably my favorite movie ever.... 👌
495,5, Tom Holland is far and away the best Spider-Man to date. This movie is a nice follow up to Avengers Endgame. Excellent movie!
497,5, One of the best spiderman films i have ever watched!
499,5, Great film and ties into infinity war and end game really well. Great to watch!
501,5, the movie was FAR FROM my expectations
503,5, best live action spiderman movie ever hands down
505,5, Einfach supa guter film kann ich nur weiter emphelen
507,5, This movie is awesome!!!! perfect combination of action and comedy love it!
509,5, excellent movie love you spiderman
511,5, Ive seen it 6 times already and I plan to watch it many many more once the DVD is out. It really is the best movie Ive ever seen
513,1, For leaving mcu. F off sony
515,5, I think this is awsome well i do have a crush on spider man wall my friend evie has a crush on miles well i saw it in thearters it is awsome
517,5, ET ES AWSUM!
519,5, the movie is so good I didnt see it in the movie theater
521,5, Havent seen the movie yet. but I love it
523,5, its marvel thats it.
525,4, The movie 🎦 was entertaining and there was a good amount of action but the plot needed to be fixed a little bit and it needed more comedy.
527,5, One of the best Spidey movies Ive ever seen
529,5, People find out spider man identity
531,5, honestly such an amazing movie. I watched it twice in theaters it was that good
533,5, i loved i hope they make an another one
535,5, funny and the best spiderman movie ever and the cliffhanger is one of a kind 😂😄😄😁
537,5, Probably my favorite spiderman film and mcu film. I just love this movie :D
539,5, I didnt see the mo vie.
541,2, The Film has a interesting Plot. But is executed Poorly.
543,5, Im looking for a new spider Man
545,5, loved the movie worth all of it i love tom holland 💞💞💞💕💕💕
547,2, 8 .o9 8mmmn
549,5, Rate this movi that has been daunload.
551,3, It started off good until the couples thing.
553,5, This is the MOST EXTREME. AWESOME SUPERHERO MOVIE IN THE WORLD!!!
555,5, All the things people love in a movie! Funny. action. romance. good plot and characters. LOVED it!
557,5, Assisti esse filme no cinema ele é muito legal amei ele 💝💝💝💝💝🎃💝
559,5, i just loved the whole movie it was amazing
561,5, I didnt watch it
563,1, Tired of pcman. Whiney Holland.
565,4, L My order please p
567,5, Youre welcome and thank you for the information
569,5, não falo em inglês ta legal
571,5, This movie is the best spider mad yet. I would completely recommend this for anyone 13 and up.
573,4, ดาวโลดติกตอกคับ
575,1, Tarihden kalma yeni film koyun
577,5, Saya suka sama spider man
579,5, This is the best spiderman movie EVER!!!!!! My sister loved the kissing part. I loved all the cool suits and everthing else.
581,5, Now that the studios have decided to play nice and work together the plot makes sense again and this is a solid movie.
583,5, Jadore ce film il est trop cool cest mon film préféré!!!!!!!!
585,5, Good but a little depressing in parts
587,4, Spider man rules again
589,5, Just a warning. this is the original version. not the Extended Cut with the extra scenes. Great movie overall..
591,5, I want this to be free please!!!!!!!!!!!!!
593,4, I like this movie Im a big Spider Man fan so I love all the Spider Man films. 🕷️
595,5, Larianelariane@outcenter. Com. Br
597,5, Spidey at his best. Interacting IN THE MCU!
599,5, All i seen was preview
601,5, This movie was flipping amazing. its basically the best Spider-Man movie since Tobey Maguires Spider-Man 2
603,5, l love all the Spiderman movies and its awesome
605,5, This movie was dope af. If you truly follow the comics then youll appreciate the movie and the MCU touch to it.🔥🔥🔥🔥💯
607,1, Aku suka film ini i💗u
609,5, sony marvel se lucieron con esta pelicula es buenísima
611,5, thia movie is the best you can get
613,5, Sais cool le film spider man
615,5, the trailer got me excited for the movie and
617,3, .. first 1 hour was like watching a 14 yo show...next half was a bit better
619,5, Awesome spidey movie almost as good as Sam raimis Spider-man 2 .
621,5, This movie was very good and on the other hand I and my friends thought it was a great movie because .....
623,2, V ?n
625,5, ✌️😎 Amen thank God its amazing with the technology we have in todays world
627,5, A really good sequel with more funny moments than Homecoming
629,5, My Favorite Spider-Man ever Tom Holland is my favorite Spider-Man and Peter Parker
631,1, Worst movie ever
633,5, I thought it was a great flick. Best live action Spider-Man to date.
635,5, So greatfulllll!😽
637,4, Spiderman was more like Iron Boy Jr but the rest of the movie was good
639,5, Maybe the best Spider-Man movie. I love what they did with Mysterio.
641,3, The movie is kinda good! but not bad for say. Better than Endgame for sure.
643,5, i went to see it 4 times
645,5, #SAVE SPIDER man
647,1, Needs more Tobey Maguire
649,3, Ehh a little too relationshippy
651,5, This is the best Spider-man yet! Cant wait for the next one!!
653,2, Ecido fan piter poreso
655,5, Esse filme d incruvel
657,3, Not sure about this one yet
659,5, Hands down the best live action Spider-Man movie since Spider-Man 2
661,5, Cool and funny movie! The Elementals were suprisingly cool.
663,1, Mis anatodo esque quiero conocer todo tipos de cosas. Y ya nomas Los amo atodos.
665,5, I like spider man and mj there my favorite characters
667,5, Its was fun and action packed. If you love the MCU you will love this movie.
669,5, Butral nada es lo que parece.
671,5, so awesome Zendaya is beautiful
673,5, one of the best movies ever
675,1, Its time to bury this character if this is all theyve got.
677,1, قیمت بالاست
679,1, 5 0the next 1
681,5, . I like this movi
683,5, Diser film ist ultra cool .😎😎 Also ich finde das ist der beste film auf der welt😍😄🤗.
685,5, Quero desenho de filme vídeo filme de
687,1, Porque no están en español ?
689,5, This movie captures the best picture of spiderman. I LOVE IT!!!!
691,5, We finally good actor for spider man the movie are finally as epic as the comics
693,5, That was a fascinating movie how the world will be covered in a big illusion.
695,5, I love the movie but I Hoped it would be comptable with my phone
697,5, I disagree it is good as a sequel
699,5, 118888😸🍌
701,5, The movie was great!
703,3, I love the movie but I pre-ordered it and it said I didnt
705,5, Good way to bring Spider-Man Back after Endgame
707,5, Great movie! Family loved it
709,5, Best story movie ever. the ending is amazing of what the story takes place
711,5, it is amazing! !!!!!!!!!! ! !!!!! ! ! ! ! ! !!!!!! ! ! !!! ! ! !! ! ! ! ! ! ! ! ! ! !! ?? !! ! !
713,5, Absolutely the most fun Ive had watching a movie in years.
715,5, 🏠🏠🏠🏠🏠🏠🏠🏠🏠🏠🏠🏠🏠🏠🏠🏠🏠🏠🏠🏠
717,5, It was an amazing movie and I loved it
719,5, I really liked this movie tom Holland is a great spiderman
721,5, spider man ghostbusters
723,5, The first one
725,5, Such a cool movie. Graphics have come a long way.
727,5, Love it. Love them all. Best man to ever fill Spideys role.
729,5, amazing just watch it for yourself
731,5, good awesome favorito movie
733,5, It is probably one of the best marvel movies ever.
735,2, Kinda lame. starting was fine. ending was poor
737,4, Its a good idea for them to make it cool and you should get the movie.❤❤❤
739,5, Great Movie. CGI was amazing and tom is a true spiderman
741,5, I love this movie. It was entertaining from beginning to end
743,5, Its litt
745,2, Its was ok
747,5, Best Spidey movie to date. Take my word for it
749,5, 10 out 10 better than homecoming.
751,5, Dommage que le film ne soit pas offert en français
753,5, Greatest spider man movie Ive ever seen
755,5, Its great I highly advise you to watch it
757,5, Great visual experience. humor. and cool love story.
759,5, Just saw it and it was awesome!!!!!
761,4, I just love the movie so much ok😄
763,1, 不好康
765,1, احلا فلم
767,5, Great addition to series. comedic with a great plotline.
769,2, Cp yo
771,5, Ajoyib film
773,5, i watched it yesterday and it was awesome
775,4, Im mad that it wasnt the moive 😡😡😡😡😡😡😠😠😠😠😠😠😠😠😠👿👿👿👿👿👿👿👿👿👿👿👿💢💢💢💢😾😾😾
777,5, kennedi Simmons
779,4, is a super long movie but I do like the movie
781,5, Good movie! Cant wait for the next one!
783,5, one star for HD
785,1, Miss to arbic Language
787,1, i cant watch it
789,1, Mangilal Makwana R
791,5, Sangat baik skali
793,5, Aplicativo muito incrível
795,5, É muito top
797,5, بجنن حلو كتير
799,3, Hguutzzi t already
801,1, Far below expectations
803,1, Es orrrrrrrriiiiiiiibbbbbbbbbblllllllllllleeeeeeeeeeeeeeeeeeeeeeeeee es ediondoooo
805,5, Даша привет как чо
807,5, Like very much
809,5, Was pre deezed
811,5, تتالننتا تمنمهع $€:
813,5, It was relly good i hope you guy loke it
815,5, The movie is great entertaining and full of humor!
817,5, Tom hollands in it.
819,5, It is a really good follow up from endgame
821,5, I love it 😍❤️
823,5, Loved this movie!
825,5, Was good but not sure about the ending.
827,5, The best Good movie Pretty good Nice movie
829,5, Esta en español?
831,3, White spider?
833,5, Its good and sad
835,5, Spider._Man...
837,4, Now.It is also a comedy show!
839,2, . Mm 08
841,5, Best Spider-man man movie in my opinion
843,5, best movie of 2019
845,5, cooooooooooooooooooooooooooooooooooooooooooo oooooooooooooooool
847,5, This movie was cold
849,5, Iove it
851,5, مك.
853,5, oh
855,5, aa
857,5, cristian
859,5, awsomeness
861,1, #boycottsony
863,5, Great movie I loved it
865,5, 😍😍😍😍
867,5, My favorite marvel film by far!
869,5, Perfect top off to the infinity saga!
871,5, Great movie. Funny too. Good for families
873,5, It was amazing. action filled.and funny
875,3, Entertaining but the plot is a bit weak
877,5, This movie is good and funny and I reccomend it
879,5, I think that this Spiderman is the best Spiderman movie
881,5, the movie was very good i loved it
883,5, Best movie of all time
885,5, I us freaking awesome
887,5, Best movie so far
889,5, anything and everything by marvel = good
891,5, THE MOVIE was AMAZING!!!
893,5, 😍😍😍
895,5, Great expansion of Spider-Man in the mcu
897,5, Great movie #savespidey
899,5, It was very good.
901,5, The best ever hands down.
903,5, I bet its going to be great when I whatch it
905,5, its a great movie
907,5, good movie awesome
909,5, love it saw it in theaters
911,5, Loved every bit of it
913,5, Love Tom Holland
915,5, good ass movie
917,5, best mouvie ever
919,5, I loved it the twist loved the ending
921,5, I bought it
923,5, up oopopre
925,2, wow baaaaad
927,5, سرگرم کننده
929,5, Hell yeah
931,5, Loved it and happy that he is staying in the MCU!!!
933,5, Its epic
935,1, Bad movie
937,5, Jhonatan Jj
939,5, ooooii besttttt
941,4, test review
943,5, عالی بود
945,5, Vou ver o
947,5, Name Tushar
949,4, Oood show
951,2, Its ight
953,4, No cu no
955,5, Very good
957,5, Keren abis
959,5, Cooooooooooook guzel
961,3, Hay lam
963,4, Angkling darma
965,4, Alex Enríquez
967,2, Bhojpuri video
969,5, Juego de fulbo
971,5, Having fu
973,5, Muito bom
975,5, Guauuu Increible
977,5, I like it
979,5, Ramesh kathayat
981,5, 😍😍
983,1, F this movie
985,5, DOPE MOVIE
987,4, A fun. entertaining watch 😊
989,1, #BoycottSony
991,4, Liked it a lot. 🔥
993,5, =rrrrrrreeeeeeeeweeeeeeed
995,1, Z. English
997,5, Gucci
999,5, Noice
1001,5, jjjj
1003,5, it was FIIIIIRRRRRREEEEEE
1005,5, لتبتل
1007,5, Good
1009,5, R2
1011,5, Best movie ever. I love it!!!!!
1013,5, Hewan.
1015,5, Whaou
1017,3, Bom
1019,1, valletta
1021,5, Perfect
1023,4, 325mg*w
1025,5, its cool
1027,4, Really fun and great movie!
1029,5, LOVE THIS MOVE OMG!
1031,5, 很好看啊，就是好贵啊，还是国内便宜，3￥
1033,5, Cool. Never watch it yet😅💯💯
1035,1, Literal garbage
1037,1, hhh
1039,5, ષૃઑ
1041,5, Best moive of all time.😄😃😀😊☺😉😍😘😚😗😙😜😝😛😳😁i loved it.
1043,4, Good movie!
1045,5, THE MOVIE IS SO COOL
1047,5, I really want to see this movie
1049,5, I LOVE IT SOOOO MUCH
1051,2, Esta bien mal desarrollada la historia
1053,5, It was better than home comeing
1055,5, - 
1057,4, *just 🔯🔯.⏰
1059,1, lame
1061,4, It was🔥🔥🔥💯💯💯
1063,3, OK
1065,5, It was AMAZING!
1067,5, Really enjoyable. great acting
1069,5, loved it!
1071,5, ..m
1073,5, I love Spider-man
1075,5, luis
1077,5, im broke
1079,1, Hyret
1081,5, It good. Me like
1083,1, F***ing selly 👇👇👇👇👇👇👇👇👎👎👎👎👎👎👎👎👎👎👎
1085,5, awesome movie
1087,5, Great movie ..I love it😙😙
1089,5, best movie ever
1091,5, best movie ever
1093,5, BEST MOVIE EVER
1095,5, really good movie
1097,5, A great movie
1099,5, Best movie ever
1101,5, I love this movie
1103,5, I feel like Im in the movie!!!!!!
1105,5, besttt
1107,5, Skrulls
1109,5, migue
1111,5, Hh
1113,5, Spiderman
1115,5, perfect
1117,5, Nice
1119,5, God
1121,5, Lover it
1123,1, Nnn
1125,5, Gk
1127,5, Solid
1129,5, Vpol
1131,1, Spitderman
1133,5, irving
1135,5, Its a good movie!
1137,5, Porn
1139,5, Yeuuppese
1141,5, Super
1143,5, Лб о
1145,5, शनी
1147,5, syper
1149,3, Jp
1151,1, Mi
1153,5, Awesome
1155,5, WARKOPDKI
1157,2, Jenifa
1159,5, bom
1161,5, Super
1163,5, Lkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
1165,4, elegal
1167,5, sasi
1169,3, Xxxxx
1171,2, Kollaaam
1173,5, Amigo
1175,5, Karthi
1177,1, xxx
1179,5, سلاو
1181,5, OMG
1183,5, Good
1185,5, Branded
1187,1, Beleza
1189,5, Like
1191,2, Gana
1193,4, desenho
1195,1, Idiotas
1197,1, eykvu
1199,5, Oke
1201,4, Сикис
1203,5, Uiii
1205,5, Motopatalomoive
1207,5, કટછજ
1209,4, Fantasma
1211,5, Nice
1213,5, Amazimg
1215,5, Goblog
1217,5, Op
1219,5, EPIC
1221,1, Egybest
1223,5, Liked it so much
1225,5, tom holland is hot
1227,5, I love this movie!
1229,5, I liked it. My kids liked it.
1231,5, This movie is fantastic!
1233,5, Great Family movie !
1235,4, 👌🏻
1237,1, War
1239,5, Still the best Spiderman movies
1241,5, Best spider movie yet
1243,5, Thank you very much
1245,5, I love spider man
1247,5, This movie was so good
1249,5, great movie
1251,5, its the best
1253,5, good player
1255,5, Favorite Movie
1257,5, Amazing movie
1259,5, It was really good!!!
1261,5, Spectacular spider-terrific
1263,1, Talentless and boring
1265,1, Worst movie
1267,4, Spider Man at its finest
1269,5, Its a great movie
1271,5, It super cool.
1273,5, Its so good
1275,5, the best act by a super
1277,5, Luv Spidie!
1279,5, The best
1281,1, naz ce film
1283,5, the best move ❤❤❤❤❤
1285,5, moxy loves 💖💚
1287,5, Good
1289,3, Overrated...
1291,5, sooooo good
1293,5, amazing and spectacular
1295,5, I loved it
1297,5, Awesome movie
1299,5, Is so cool
1301,5, A great adventure
1303,5, This movies is the best
1305,5, Best movie on the world
1307,5, LOVE THIS MOVIE
1309,5, Great movie
1311,5, Really good movie
1313,5, I love this movie
1315,5, Cool movie
1317,5, This movie is awesome
1319,5, Best Spiderman ever
1321,5, Awesome movie funny
1323,5, Great movie for kids
1325,5, It so nice
1327,1, Nice movie
1329,5, Great action and acting
1331,4, Really good quality
1333,5, Such a great movie
1335,5, Great fun to watch
1337,3, Strictly average movie
1339,5, Salut sai bon
1341,5, Fun for the whole Family
1343,4, Esta re bueno
1345,5, Awesome!!
1347,5, Fun!
1349,5, Amazing
1351,3, 你好
1353,5, Loved it
1355,5, Love it
1357,5, Cool
1359,5, Perfection
1361,5, Love
1363,5, Amazing
1365,5, Good
1367,5, Fun!
1369,5, love it
1371,5, pritty
1373,5, COOL
1375,5, amazing
1377,5, it is the best
1379,5, Amazing
1381,3, Good
1383,1, Nul
1385,5, Beauty new serie .......!!!???
1387,5, Loved it all.
1389,5, Love it!!
1391,5, Awsome!
1393,4, Not bad.
1395,5, GOP
1397,5, Love it!
1399,5, Spectacular!!!!
1401,5, so cool
1403,5, ☺🤗😇😏
1405,5, Best..
1407,5, love it
1409,5, this movie is cool
1411,5, it was good
1413,5, loved it
1415,5, AMAZING
1417,5, AMAZING
1419,5, Loved it
1421,5, Cool
1423,5, Cool
1425,5, Loved it
1427,5, GOOD
1429,4, Enjoyable
1431,5, Amazing
1433,5, Great film
1435,5, GREAT FILM
1437,5, Real good
1439,5, Its the best
1441,5, I love it
1443,5, Great movie
1445,5, it was soooooooooo gooooood
1447,5, Me encanta
1449,5, Very nice
1451,5, Cool heheheh
1453,5, Really good
1455,5, Me encanta
1457,4, Not bad
1459,5, انه رائع
1461,5, good movie
1463,3, так собі
1465,5, رائع جدا
1467,5, War spanend
1469,5, Good remake
1471,5, Good movie
1473,5, Good for the kids
1475,5, Best and the coolest
1477,5, Good movie
1479,5, Good movie
1481,5, Jador
1483,5, in love 💙💙
1485,5, Amazing👌
1487,5, Awesome.
1489,5, Loved it.
1491,5, amazing
1493,5, Cool
1495,5, is good
1497,5, Great
1499,5, Amazing
1501,5, Awesome
1503,5, Amazing
1505,5, nice
1507,5, Love it
1509,5, Love it
1511,5, great
1513,4, Interesting
1515,5, Best
1517,5, Best
1519,5, Love it
1521,5, Loved it
1523,5, amazing
1525,5, Great
1527,5, Love it
1529,5, Cool
1531,5, the best
1533,5, روعه
1535,5, Good
1537,5, Awsome
1539,5, Bonito
1541,5, Good
1543,5, Great
1545,1, Nul
1547,5, Good
1549,5, Graet
1551,5, gooood
1553,5, Awesome
1555,5, Excelente
1557,4, Exciting
